Platform,Date,Genre,Number of Titles
Amazon Prime,June 2021,Documentary,1070
Amazon Prime,June 2021,Crime & Thriller,976
Amazon Prime,June 2021,Comedy,881
Amazon Prime,June 2021,Children & Family,731
Amazon Prime,June 2021,Romance,605
Amazon Prime,June 2021,Sci-Fi & Fantasy,482
Amazon Prime,June 2021,Action & Adventure,458
Amazon Prime,June 2021,Drama,371
Amazon Prime,June 2021,Horror,225
Amazon Prime,June 2021,Entertainment,203
Amazon Prime,June 2021,Reality,199
Amazon Prime,June 2021,Miscellaneous,12
Amazon Prime,June 2021,Adult,5
Amazon Prime,June 2021,News & Current Affairs,0
Apple TV+,June 2021,Documentary,22
Apple TV+,June 2021,Crime & Thriller,10
Apple TV+,June 2021,Comedy,11
Apple TV+,June 2021,Children & Family,21
Apple TV+,June 2021,Romance,3
Apple TV+,June 2021,Sci-Fi & Fantasy,5
Apple TV+,June 2021,Action & Adventure,2
Apple TV+,June 2021,Drama,4
Apple TV+,June 2021,Horror,0
Apple TV+,June 2021,Entertainment,3
Apple TV+,June 2021,Reality,0
Apple TV+,June 2021,Miscellaneous,2
Apple TV+,June 2021,Adult,0
Apple TV+,June 2021,News & Current Affairs,0
Disney+,June 2021,Documentary,266
Disney+,June 2021,Crime & Thriller,234
Disney+,June 2021,Comedy,412
Disney+,June 2021,Children & Family,1058
Disney+,June 2021,Romance,153
Disney+,June 2021,Sci-Fi & Fantasy,224
Disney+,June 2021,Action & Adventure,93
Disney+,June 2021,Drama,87
Disney+,June 2021,Horror,18
Disney+,June 2021,Entertainment,12
Disney+,June 2021,Reality,66
Disney+,June 2021,Miscellaneous,1
Disney+,June 2021,Adult,0
Disney+,June 2021,News & Current Affairs,0
Foxtel Now,June 2021,Documentary,1697
Foxtel Now,June 2021,Crime & Thriller,682
Foxtel Now,June 2021,Comedy,630
Foxtel Now,June 2021,Children & Family,668
Foxtel Now,June 2021,Romance,285
Foxtel Now,June 2021,Sci-Fi & Fantasy,244
Foxtel Now,June 2021,Action & Adventure,145
Foxtel Now,June 2021,Drama,338
Foxtel Now,June 2021,Horror,56
Foxtel Now,June 2021,Entertainment,698
Foxtel Now,June 2021,Reality,566
Foxtel Now,June 2021,Miscellaneous,11
Foxtel Now,June 2021,Adult,0
Foxtel Now,June 2021,News & Current Affairs,13
Netflix,June 2021,Documentary,734
Netflix,June 2021,Crime & Thriller,1159
Netflix,June 2021,Comedy,1582
Netflix,June 2021,Children & Family,1132
Netflix,June 2021,Romance,994
Netflix,June 2021,Sci-Fi & Fantasy,546
Netflix,June 2021,Action & Adventure,397
Netflix,June 2021,Drama,552
Netflix,June 2021,Horror,140
Netflix,June 2021,Entertainment,118
Netflix,June 2021,Reality,174
Netflix,June 2021,Miscellaneous,1
Netflix,June 2021,Adult,5
Netflix,June 2021,News & Current Affairs,0
Stan,June 2021,Documentary,305
Stan,June 2021,Crime & Thriller,755
Stan,June 2021,Comedy,722
Stan,June 2021,Children & Family,575
Stan,June 2021,Romance,491
Stan,June 2021,Sci-Fi & Fantasy,364
Stan,June 2021,Action & Adventure,219
Stan,June 2021,Drama,349
Stan,June 2021,Horror,78
Stan,June 2021,Entertainment,38
Stan,June 2021,Reality,71
Stan,June 2021,Miscellaneous,1
Stan,June 2021,Adult,9
Stan,June 2021,News & Current Affairs,0
