Platform,Date,Age of Content,Recently Removed,Newly Added
Amazon Prime,June 2021,0-1 year,202,256
Amazon Prime,June 2021,1-2 years,476,224
Amazon Prime,June 2021,2-3 years,489,143
Amazon Prime,June 2021,3-4 years,486,131
Amazon Prime,June 2021,4-5 years,409,106
Amazon Prime,June 2021,5-10 years,1389,431
Amazon Prime,June 2021,Over 10 years,3011,924
Amazon Prime,June 2021,All years,6462,2215
Apple TV,June 2021,0-1 year,0,28
Apple TV,June 2021,1-2 years,0,11
Apple TV,June 2021,2-3 years,0,1
Apple TV,June 2021,3-4 years,0,1
Apple TV,June 2021,4-5 years,0,0
Apple TV,June 2021,5-10 years,0,0
Apple TV,June 2021,Over 10 years,0,7
Apple TV,June 2021,All years,0,48
Disney+,June 2021,0-1 year,2,73
Disney+,June 2021,1-2 years,0,96
Disney+,June 2021,2-3 years,0,77
Disney+,June 2021,3-4 years,0,71
Disney+,June 2021,4-5 years,0,68
Disney+,June 2021,5-10 years,1,328
Disney+,June 2021,Over 10 years,0,774
Disney+,June 2021,All years,3,1487
Foxtel Now,June 2021,0-1 year,229,506
Foxtel Now,June 2021,1-2 years,326,436
Foxtel Now,June 2021,2-3 years,230,288
Foxtel Now,June 2021,3-4 years,154,200
Foxtel Now,June 2021,4-5 years,149,156
Foxtel Now,June 2021,5-10 years,430,588
Foxtel Now,June 2021,Over 10 years,587,834
Foxtel Now,June 2021,All years,2105,3008
Netflix,June 2021,0-1 year,64,652
Netflix,June 2021,1-2 years,172,354
Netflix,June 2021,2-3 years,252,169
Netflix,June 2021,3-4 years,210,128
Netflix,June 2021,4-5 years,172,94
Netflix,June 2021,5-10 years,383,323
Netflix,June 2021,Over 10 years,409,461
Netflix,June 2021,All years,1662,2181
Stan,June 2021,0-1 year,13,100
Stan,June 2021,1-2 years,53,151
Stan,June 2021,2-3 years,74,123
Stan,June 2021,3-4 years,39,99
Stan,June 2021,4-5 years,37,81
Stan,June 2021,5-10 years,165,256
Stan,June 2021,Over 10 years,203,674
Stan,June 2021,All years,584,1484
