Date,Amazon_Prime,Apple_TV,Disney_Plus,Foxtel_Now,Hayu,Netflix,Stan
Date,Amazon Prime,Apple TV+,Disney+,Foxtel Now,Hayu,Netflix,Stan
June 2015,,,,,,1666,
July 2015,,,,,,1777,
August 2015,,,,,,1933,
September 2015,,,,,,2039,
October 2015,,,,,,2100,
November 2015,,,,,,2172,
December 2015,,,,,,2248,
January 2016,,,,,,2382,
February 2016,,,,,,2493,
March 2016,,,,,,2575,
April 2016,,,,,,2553,
May 2016,,,,,,2651,
June 2016,,,,,,2703,
July 2016,,,,,,2933,
August 2016,,,,,,3100,
September 2016,,,,,,3227,
October 2016,,,,,,3322,
November 2016,,,,,,3426,
December 2016,,,,,,3635,
January 2017,,,,,,3758,
February 2017,,,,,,3894,
March 2017,,,,,,3925,
April 2017,,,,,,3993,
May 2017,,,,,,4218,
June 2017,,,,,,4311,
July 2017,,,,,,4459,
August 2017,,,,,,4569,
September 2017,1024,,,"3,095",,4682,"2,266"
October 2017,1081,,,"2,974",,4857,"2,279"
November 2017,1372,,,"3,053",,4950,"2,284"
December 2017,2172,,,3201,,5099,2395
January 2018,2090,,,3138,,5244,2326
February 2018,2366,,,3324,,5229,2322
March 2018,2371,,,3311,,5377,2290
April 2018,2560,,,3251,,5400,2270
May 2018,2515,,,3277,,5467,2263
June 2018,2512,,,3394,,5503,2256
July 2018,3913,,,3545,,5570,2321
August 2018,3817,,,3645,,5694,2352
September 2018,3905,,,3618,,5793,2361
October 2018,3296,,,3746,,5865,2388
November 2018,3446,,,3957,,5969,2513
December 2018,5236,,,3957,,6014,2564
January 2019,6149,,,3858,,6239,2773
February 2019,6492,,,3888,,6312,2698
March 2019,6499,,,4050,,6191,2695
April 2019,5900,,,4090,,6222,2675
May 2019,6476,,,4054,,6261,2620
June 2019,6619,,,4079,,6065,2687
July 2019,5941,,,4055,,6235,2728
August 2019,6829,,,4197,,6302,2730
September 2019,7284,,,4310,,6318,2745
October 2019,7571,,,4370,,6379,2836
November 2019,7394,11,883,4572,,6438,2976
December 2019,7599,13,944,4468,,6417,2954
January 2020,7890,13,981,4548,638,6530,3006
February 2020,8063,16,"1,005",4823,638,6543,3021
March 2020,8224,17,"1,046",4946,641,6620,2970
April 2020,8371,19,"1,076",5035,650,6659,3006
May 2020,8388,31,"1,102",5065,652,6766,3024
June 2020,10459,34,1140,5090,655,7015,3075
July 2020,10946,37,1190,5244,655,7152,3098
August 2020,11321,39,1368,5281,665,7044,3141
September 2020,11333,43,1339,5369,633,7170,3170
October 2020,11605,51,1415,5451,681,7135,3333
November 2020,11474,54,1454,5523,741,7375,3430
December 2020,11239,58,1430,5932,787,7254,3662
January 2021,10772,63,1472,5860,729,7190,3682
February 2021,10062,68,2478,5836,843,7277,3821
March 2021,9264,70,2513,5861,750,7292,3917
April 2021,8677,72,2550,5959,759,7399,3999
May 2021,7674,77,2574,6017,763,7463,3981
June 2021,6208,83,2623,6032,761,7531,3975
