Platform,Date,Number of Content Titles
Amazon Prime,June 2015,
Amazon Prime,July 2015,
Amazon Prime,August 2015,
Amazon Prime,September 2015,
Amazon Prime,October 2015,
Amazon Prime,November 2015,
Amazon Prime,December 2015,
Amazon Prime,January 2016,
Amazon Prime,February 2016,
Amazon Prime,March 2016,
Amazon Prime,April 2016,
Amazon Prime,May 2016,
Amazon Prime,June 2016,
Amazon Prime,July 2016,
Amazon Prime,August 2016,
Amazon Prime,September 2016,
Amazon Prime,October 2016,
Amazon Prime,November 2016,
Amazon Prime,December 2016,
Amazon Prime,January 2017,
Amazon Prime,February 2017,
Amazon Prime,March 2017,
Amazon Prime,April 2017,
Amazon Prime,May 2017,
Amazon Prime,June 2017,
Amazon Prime,July 2017,
Amazon Prime,August 2017,
Amazon Prime,September 2017,1024
Amazon Prime,October 2017,1081
Amazon Prime,November 2017,1372
Amazon Prime,December 2017,2172
Amazon Prime,January 2018,2090
Amazon Prime,February 2018,2366
Amazon Prime,March 2018,2371
Amazon Prime,April 2018,2560
Amazon Prime,May 2018,2515
Amazon Prime,June 2018,2512
Amazon Prime,July 2018,3913
Amazon Prime,August 2018,3817
Amazon Prime,September 2018,3905
Amazon Prime,October 2018,3296
Amazon Prime,November 2018,3446
Amazon Prime,December 2018,5236
Amazon Prime,January 2019,6149
Amazon Prime,February 2019,6492
Amazon Prime,March 2019,6499
Amazon Prime,April 2019,5900
Amazon Prime,May 2019,6476
Amazon Prime,June 2019,6619
Amazon Prime,July 2019,5941
Amazon Prime,August 2019,6829
Amazon Prime,September 2019,7284
Amazon Prime,October 2019,7571
Amazon Prime,November 2019,7394
Amazon Prime,December 2019,7599
Amazon Prime,January 2020,7890
Amazon Prime,February 2020,8063
Amazon Prime,March 2020,8224
Amazon Prime,April 2020,8371
Amazon Prime,May 2020,8388
Amazon Prime,June 2020,10459
Amazon Prime,July 2020,10946
Amazon Prime,August 2020,11321
Amazon Prime,September 2020,11333
Amazon Prime,October 2020,11605
Amazon Prime,November 2020,11474
Amazon Prime,December 2020,11239
Amazon Prime,January 2021,10772
Amazon Prime,February 2021,10062
Amazon Prime,March 2021,9264
Amazon Prime,April 2021,8677
Amazon Prime,May 2021,7674
Amazon Prime,June 2021,6208
Apple TV+,June 2015,
Apple TV+,July 2015,
Apple TV+,August 2015,
Apple TV+,September 2015,
Apple TV+,October 2015,
Apple TV+,November 2015,
Apple TV+,December 2015,
Apple TV+,January 2016,
Apple TV+,February 2016,
Apple TV+,March 2016,
Apple TV+,April 2016,
Apple TV+,May 2016,
Apple TV+,June 2016,
Apple TV+,July 2016,
Apple TV+,August 2016,
Apple TV+,September 2016,
Apple TV+,October 2016,
Apple TV+,November 2016,
Apple TV+,December 2016,
Apple TV+,January 2017,
Apple TV+,February 2017,
Apple TV+,March 2017,
Apple TV+,April 2017,
Apple TV+,May 2017,
Apple TV+,June 2017,
Apple TV+,July 2017,
Apple TV+,August 2017,
Apple TV+,September 2017,
Apple TV+,October 2017,
Apple TV+,November 2017,
Apple TV+,December 2017,
Apple TV+,January 2018,
Apple TV+,February 2018,
Apple TV+,March 2018,
Apple TV+,April 2018,
Apple TV+,May 2018,
Apple TV+,June 2018,
Apple TV+,July 2018,
Apple TV+,August 2018,
Apple TV+,September 2018,
Apple TV+,October 2018,
Apple TV+,November 2018,
Apple TV+,December 2018,
Apple TV+,January 2019,
Apple TV+,February 2019,
Apple TV+,March 2019,
Apple TV+,April 2019,
Apple TV+,May 2019,
Apple TV+,June 2019,
Apple TV+,July 2019,
Apple TV+,August 2019,
Apple TV+,September 2019,
Apple TV+,October 2019,
Apple TV+,November 2019,11
Apple TV+,December 2019,13
Apple TV+,January 2020,13
Apple TV+,February 2020,16
Apple TV+,March 2020,17
Apple TV+,April 2020,19
Apple TV+,May 2020,31
Apple TV+,June 2020,34
Apple TV+,July 2020,37
Apple TV+,August 2020,39
Apple TV+,September 2020,43
Apple TV+,October 2020,51
Apple TV+,November 2020,54
Apple TV+,December 2020,58
Apple TV+,January 2021,63
Apple TV+,February 2021,68
Apple TV+,March 2021,70
Apple TV+,April 2021,72
Apple TV+,May 2021,77
Apple TV+,June 2021,83
Disney+,June 2015,
Disney+,July 2015,
Disney+,August 2015,
Disney+,September 2015,
Disney+,October 2015,
Disney+,November 2015,
Disney+,December 2015,
Disney+,January 2016,
Disney+,February 2016,
Disney+,March 2016,
Disney+,April 2016,
Disney+,May 2016,
Disney+,June 2016,
Disney+,July 2016,
Disney+,August 2016,
Disney+,September 2016,
Disney+,October 2016,
Disney+,November 2016,
Disney+,December 2016,
Disney+,January 2017,
Disney+,February 2017,
Disney+,March 2017,
Disney+,April 2017,
Disney+,May 2017,
Disney+,June 2017,
Disney+,July 2017,
Disney+,August 2017,
Disney+,September 2017,
Disney+,October 2017,
Disney+,November 2017,
Disney+,December 2017,
Disney+,January 2018,
Disney+,February 2018,
Disney+,March 2018,
Disney+,April 2018,
Disney+,May 2018,
Disney+,June 2018,
Disney+,July 2018,
Disney+,August 2018,
Disney+,September 2018,
Disney+,October 2018,
Disney+,November 2018,
Disney+,December 2018,
Disney+,January 2019,
Disney+,February 2019,
Disney+,March 2019,
Disney+,April 2019,
Disney+,May 2019,
Disney+,June 2019,
Disney+,July 2019,
Disney+,August 2019,
Disney+,September 2019,
Disney+,October 2019,
Disney+,November 2019,883
Disney+,December 2019,944
Disney+,January 2020,981
Disney+,February 2020,"1,005"
Disney+,March 2020,"1,046"
Disney+,April 2020,"1,076"
Disney+,May 2020,"1,102"
Disney+,June 2020,1140
Disney+,July 2020,1190
Disney+,August 2020,1368
Disney+,September 2020,1339
Disney+,October 2020,1415
Disney+,November 2020,1454
Disney+,December 2020,1430
Disney+,January 2021,1472
Disney+,February 2021,2478
Disney+,March 2021,2513
Disney+,April 2021,2550
Disney+,May 2021,2574
Disney+,June 2021,2623
Foxtel Now,June 2015,
Foxtel Now,July 2015,
Foxtel Now,August 2015,
Foxtel Now,September 2015,
Foxtel Now,October 2015,
Foxtel Now,November 2015,
Foxtel Now,December 2015,
Foxtel Now,January 2016,
Foxtel Now,February 2016,
Foxtel Now,March 2016,
Foxtel Now,April 2016,
Foxtel Now,May 2016,
Foxtel Now,June 2016,
Foxtel Now,July 2016,
Foxtel Now,August 2016,
Foxtel Now,September 2016,
Foxtel Now,October 2016,
Foxtel Now,November 2016,
Foxtel Now,December 2016,
Foxtel Now,January 2017,
Foxtel Now,February 2017,
Foxtel Now,March 2017,
Foxtel Now,April 2017,
Foxtel Now,May 2017,
Foxtel Now,June 2017,
Foxtel Now,July 2017,
Foxtel Now,August 2017,
Foxtel Now,September 2017,"3,095"
Foxtel Now,October 2017,"2,974"
Foxtel Now,November 2017,"3,053"
Foxtel Now,December 2017,3201
