Platform,Year,Price
Amazon Prime,2015,
Apple,2015,
Disney+,2015,
Foxtel Now,2015,
Netflix,2015,$8.99
Stan,2015,
Binge,2015,
Amazon Prime,2016,$6.99
Apple,2016,
Disney+,2016,
Foxtel Now,2016,
Netflix,2016,
Stan,2016,$10
Stan,2016,$14
Binge,2016,
Amazon Prime,2017,
Apple,2017,
Disney+,2017,
Foxtel Now,2017,$10
Foxtel Now,2017,$25
Netflix,2017,
Stan,2017,
Binge,2017,
Amazon Prime,2019,
Apple,2019,$7.99
Disney+,2019,$8.99
Foxtel Now,2019,
Netflix,2019,
Stan,2019,
Binge,2019,
Amazon Prime,2020,
Apple,2020,
Disney+,2020,
Foxtel Now,2020,
Netflix,2020,
Stan,2020,
Binge,2020,$10
Binge,2020,$18
Amazon Prime,2024,$9.99
Apple,2024,$12.99
Disney+,2024,$13.99
Disney+,2024,$17.99
Foxtel Now,2024,$25
Netflix,2024,$7.99
Netflix,2024,$25.99
Stan,2024,$10
Stan,2024,$21
Binge,2024,$10
Binge,2024,$22
